"第1周" "第2周" "第3周" "第4周" "第5周" "第6周" "第7周" "第8周" "第9周"
"P.46.8" 8 10 10 12 15 15 15 15 15
"P.46.9" 4 5 8 9 10 13 72 154 167
"P.46.10" 7 7 8 12 14 14 14 15 15
"P.47.1" 9 10 10 11 12 13 34 132 156
"P.47.2" 8 9 10 12 13 13 13 13 13
"P.47.3" 9 9 10 11 13 13 13 13 13
"P.47.4" 7 8 9 11 12 12 28 92 100
"P.47.5" 8 8 9 10 11 11 12 12 12
"P.47.6" 7 7 8 9 12 12 12 13 13
"P.47.7" 7 8 8 10 11 11 35 85 86
"P.47.8" 7 7 8 13 15 15 15 15 15
"P.47.9" 7 8 10 11 13 14 14 15 15
"P.47.10" 8 10 11 14 15 17 29 181 188
"P.48.1" 7 7 7 8 9 9 25 50 52
"P.48.2" 7 8 9 9 10 13 20 59 62
"P.48.3" 6 6 8 8 8 34 87 156 185
"P.48.4" 6 6 8 8 9 9 16 34 38
"P.48.5" 5 5 7 8 9 17 29 53 60
"P.48.6" 7 7 9 11 14 33 56 66 79
"P.48.7" 6 6 8 8 9 10 22 43 47
"P.48.8" 7 7 7 7 8 12 63 83 101
"P.48.9" 4 5 6 7 8 9 18 49 55
"P.48.10" 5 6 6 8 9 21 47 106 107
"P.49.1" 5 6 7 8 9 9 17 48 60
"P.49.2" 5 5 5 6 7 7 8 8 8
"P.49.3" 5 6 7 8 8 9 22 61 69
"P.49.4" 5 6 6 7 8 9 14 28 33
"P.49.5" 5 5 6 7 9 9 11 12 22
"P.49.6" 5 5 6 7 8 9 12 17 93
"P.49.7" 7 7 8 9 10 13 30 84 97
"P.49.8" 6 6 7 9 10 10 25 72 76
"P.49.9" 6 6 7 8 8 8 9 10 49
"P.49.10" 7 8 8 8 9 9 27 64 77
"P.50.1" 5 5 6 7 22 41 55 59 60
"P.50.2" 5 5 5 8 10 16 43 92 96
"P.50.3" 5 5 5 7 24 45 60 70 70
"P.50.4" 5 5 5 7 18 39 65 113 123
"P.50.5" 4 5 5 7 13 29 49 70 75
"P.50.6" 7 7 7 7 9 9 15 36 41
"P.50.7" 5 5 5 7 24 35 44 50 50
"P.50.8" 5 5 5 7 17 33 60 77 77
"P.50.9" 5 5 6 6 16 21 55 64 69
"P.50.10" 6 7 7 7 17 33 67 89 94
"P.51.1" 6 6 7 8 8 10 34 125 NA
"P.51.2" 6 6 7 8 8 9 12 37 NA
"P.51.3" 7 7 8 9 9 9 15 84 NA
"P.51.4" 5 5 5 7 7 10 19 33 NA
"P.51.5" 5 5 6 7 7 9 48 59 NA
"P.51.6" 6 6 9 10 11 11 29 68 NA
"P.51.7" 6 6 6 7 7 10 35 125 NA
"P.51.8" 6 7 7 8 10 10 58 71 NA
"P.51.9" 5 5 7 8 9 9 25 96 NA
"P.51.10" 5 6 8 9 9 10 100 125 NA
"P.52.1" 4 5 6 7 37 62 62 62 NA
"P.52.2" 5 5 6 6 24 44 47 56 NA
